video_id,title,channel_name,tanggal,author,komentar,label,komentar_clean,predicted_label
f8UEkmYXlzA,SKAKMAT AHOK,Pandji Pragiwaksono,1.745.412.234.123.970,TerranceNoelle-o9i,Makin yakin abis baca review lain tentang ✌✌𝐒𝐆𝐈𝟖𝟖.,1,makin yakin abis baca review lain tentang 𝐒𝐆𝐈𝟖𝟖 .,0
XI8K0-_kbHc,GAK NYANGKA BISA BEGINI! PENGENDARA DIJALAN SAMPAI BINGUNG LIHAT HUMMER EV | GLAMOUR AUTO BOUTIQUE,Jejelogy,1.739.601.493.342.000,deraatvexplorerriders.2113,Paling suka model H2 😍🔥,0,suka model h2,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.772.479.808.090,risqokurniadi7208,Mobilnya udah hancur 🥺,0,mobilnya udah hancur,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.738.825.556.100.780,LorrianeDotson,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin aku jadi sultan,1,░𝙈𝘼𝙉𝙐𝙏88░benar2 bikin sultan,1
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.858.865.953.920,Elpoco7365,Semoga lekas recover mobilnya mas Dipo,0,semoga lekas recover mobilnya mas dipo,0
gRjWM8jPIPw,"MR. BOND, MOBIL ANDA SUDAH SIAP | ASTON MARTIN DB12",Fitra Eri,2025-04-30 09:01:02+00:00,ReshmaBanu-ml2cn,pantes tongkrongan maen alexis17,1,pantes tongkrongan maen alexis17,1
4-hj6CwvKpU,JAECOO J7 | PHEV Apakah Worth It? Feat. Ridwan Hanif,Motomobi,1.745.164.793.426.260,WulanSantoso-e4n,gua udah ga bisa bayangin hidup tanpa ALEXIS-17☯ sih,1,gua udah ga bisa bayangin hidup tanpa alexis-17 sih,1
rrUoGtfU9kw,PAMERAN EV TERKEREN INI BISA BIKIN ANDA KAYA RAYA,Fitra Eri,2025-05-01 09:01:12+00:00,Boruulqi,langsung percaya lihat hasilnya,1,langsung percaya lihat hasilnya,1
VXqMJqP7mvk,HP TERGILA yang dijual RESMI di INDONESIA! - Huawei Mate XT!,GadgetIn,2025-04-22 03:10:19+00:00,SitiSeptiani-m4o,orang bilang alexis17 tuh miracle banget !,1,orang bilang alexis17 tuh miracle banget !,1
gP0YCMCJnjA,Presiden Prabowo Menjawab,Narasi Newsroom,1.744.214.326.412.990,urutoito,Yapping mulu anjir kagak ada jawaban sistematis dan realistis,0,yapping mulu anjir kagak ada jawaban sistematis dan realistis,0
ufS5vDKnIhM,MITSUBISHI TRITON ULTIMATE AT | Definisi Pria Jago Di Kantor dan Di Lapangan,Motomobi,2025-05-01 02:30:42+00:00,maryadipradipta,gue rela gak upgrade hp nabung alexis17 .,1,gue rela gak upgrade hp nabung alexis17 .,1
ldxzVrtqXFg,"Generasi Muda, Bonus Demografi dan Masa Depan Indonesia",Wakil Presiden Republik Indonesia,174.539.075.626.269,asepsyamsudin6029,sekarang udah brp ya ya dislike 👎👎👎👎👎👎,0,sekarang udah brp ya ya dislike,0
-vQDp9fHrzk,"Jersey Baru Timnas, Bau-Bau Piala Dunia Bro!",Karbida FC,1.739.946.320.868.000,ahmadzabidi9626,Keren bngettttt,0,keren bngettttt,0
QpXcKzQInXg,Review Mobil Drift Seharga Super Car | BRZ V8 Obell,Garasi Drift,1.739.084.742.179.940,akhsansidieq8961,Diatas GD masi ada ASC monster 😅,0,diatas gd masi asc monster,0
nZoNbiwP2ZE,Akhirnya Selesai Subaru Crosstrek Family Driftster‼️,Garasi Drift,1.739.599.669.630.980,DANDDEV,Makantuh setengah jam,0,makantuh jam,0
zFhBO9uoGYA,INDONESIAN DRIFT SERIES TERAKHIR di sini,Om Mobi,2025-05-04 13:36:57+00:00,aarifahmad2316,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1,"pikir , kelewat mikir sampe lupa pu lau tujuh tujuh tujuh !",1
BI_RsNf1HJA,Mobil Yang Bikin GD Insecure‼️ | The Elite Showcase 2025,Garasi Drift,1.739.946.151.397.450,rahmatkapoll7671,​kocakk emang itu caranya biar komenan judol ga diatas 11 ​ @izurzuhri ,0,​kocakk emang biar komenan judol ga diatas ​,0
